"contact information . met with ruth from the bakery ; she 's willing to cater . her information is ruth baker 123 easy street rosa lane , ca , 90216 555-1212-9934 john@initech-corp.com none john@initech-corp.com",CONTACT,CONTACT
remember to email jimmy hello me i want to make sure i do n't forget about my friend jimmy 's email address i want you to remember it is jimmyn@hotmail.com i should be able to remember my friends email more with your help me . ;] mike@initech-corp.com 6775.jpg mike@initech-corp.com,CONTACT,CONTACT
jake robinson at universal corp contact information for jake robinson at universal corp from the tech conference in denver - december 2016 . jake robinson jrobinson@universalcorp @com -lrb-800-rrb-455-3338 notes discussed future planning and cooperation strategies . mary@initech-corp.com none mary@initech-corp.com,CONTACT,POLICY
new policy ms lany i have a announcement of a new policy and i need you to get this out to all of our members so that we are all up to date with these things many thanks my friend . lany@initech-corp.com policy.jpg mike@initech-corp.com,POLICY,POLICY
"important person to remember you just met your new manager george o'conner . he is the short , bald old man that always wear sweater vests . he likes to golf and knit . you want to get on his good side . you want to become assistant manager soon ! remember to be nice to him and not show how easily you get annoyed . you got this ! mike@initech-corp.com image.gif mike@initech-corp.com",CONTACT,CONTACT
"notice regarding new policy hi everyone , going forward , it 's our new policy to require people to wear clothing during office hours . i understand this may inconvenience many of you , especially igor , but it 's for the comfort and courtesy of everyone we now must do this . we will not , however , do away with the liquid daily lunches . bossman john initech corp overlord everyone@mycorporation.com none john@initech-corp.com",POLICY,POLICY
"important new call logging policy good afternoon , in an effort to better understand our client contacts , we have developed a streamlined call logging policy for all employees . when you have a client contact via the telephone , simply log the contact into the new system through a quick link that is being integrated into all of our software . the attached memorandum explains the new policy in greater detail . i understand that it seems like an additional step , but it will help us better understand what we can do for our clients and where to invest in the future . we appreciate all of your hard work and welcome any feedback you have about this new policy . sincerely , mary staff@initech-corp.com 2016callpolicy.pdf mary@initech-corp.com",POLICY,POLICY
"john smethen contact note john.enter into base . 412-444-1535 312 west clifton , juniper llc point contact for press releases on the walk out . jsmethen@yahoo.com john@initech-corp.com none john@initech-corp.com",CONTACT,CONTACT
"new policy effective immediately due to the severe roach infestation , employees are no longer allowed to eat food at their desk . you must eat any food item in the employee lounge . if any employee is caught with food at their desk , or any place else besides the employee lounge , i will be sending you the pest control bill . thanks ! allstaff@initech-corp.com none mike@initech-corp.com",POLICY,CONTACT
contact reminder just a reminder to store this number for later on . it is ery important to keep this person 's number on file . marty 917-723-2266 ( mcfly corp. ) john@initech-corp.com none john@initech-corp.com,CONTACT,CONTACT
contact info for x talked with x today at conference . works at abc company . marketing manager . looking for new job . emailing me her resume / mary@initech-corp.com none mary@initech-corp.com,CONTACT,CONTACT
"reminder this is just a reminder for the future . it is necessary for you to keep note of jen 's contact . without her contact , we will be unable to move forward with the contract and complete the work on time . all her contact information is listed in the attachment . igor@initech-corp.com jencontact.jpg igor@initech-corp.com",CONTACT,CONTACT
"remember do not forget about the contact you made today . add them to your phone when you get home , and make sure you save their name appropriately so you do n't forget . you do n't want to have a who 's this incident , when you do not need to ! jordan none john@initech-corp.com",CONTACT,CONTACT
new policy please keep in mind that starting on monday the new company policy states employees are no longer allowed to take two 15 minutes breaks . instead it will now be one 20 minute break . jonathan@initech-corp.com none john@initech-corp.com,POLICY,POLICY
"office announcement just a heads up , there are people coming to renovate the office in about a month . we will be switching to a different location until they finish . here is the updated information all newaddress.exe igor@initech-corp.com",POLICY,POLICY
"drummer for radiohead do n't forget to contact phil selway for drumming lessons on jan 10th . he said the best way to contact him would be through the email 123moomoo@email.net . contact him on the 11th of january to confirm appointment , and half payment . remember to work on the techniques he showed you while in talks with him . he said it 's very important to learn these techniques while in session with him . also remember to book motel in oxford england , and bring the fry sauce i promised him . also , remember to bring him thank you gift for having me at his warehouse party . gift ideas are something funny , or not so serious under $ 100 . amy@initech-corp.com drumming ideas amy@initech-corp.com",CONTACT,CONTACT
"john frank i am sending this to myself to ensure that i remember the name and email of a fellow colleague . his name is john frank , his email is jfrank200@gmail.com and i need to remember to send him some important documents on the 28th of december 2016 . john@initech-corp.com none john@initech-corp.com",CONTACT,CONTACT
remember mary andrews i have to remember to contact mary andrews on the 29th of january for an important meeting we will be having in a couple of months . her phone number is 704-999-3423 and i need to send her a text . i am sending this email as a reminder to myself . mike@initech-corp.com none mike@initech-corp.com,CONTACT,CONTACT
new airline policy dear all - please be advised that we are required to use air france for all flights between the us and france starting january 1 . a copy of the announcement is attached . no exceptions . - mary alldeptemployees@initech-corp.com airlinepolicy122016.pdf mary@initech-corp.com,POLICY,POLICY
"policy hey guys , i just wanted to address all of you to tell you about our new implementation of our company values . i have now included honesty in our list of values , ( steve ) because i feel that in order for our business to run smoothly , we need to be honest with one another and cooperate . please read the attachment ! everyone company values sheet john@initech-corp.com",POLICY,POLICY
"shift switch hey everyone , as you know there was a big line break last week because two members crossed wires and we ended up down two line people . from now on we will have to make all shift switches subject to my approval so everyone is aware the changes have occurred . that means they have to be input 24 hours before effective . it was nice running so informally but we are too busy now and are too big . see theresa for questions . this is now the policy as of today . thanks , we have doing really well till now . dave cc alna , jackson , none john@initech-corp.com",POLICY,POLICY
too many bobs here at bob.com we have too many bobs . you can have one for twenty three dollars . i can send you some pictures in the attachment . there are just too many here to keep track of . they are everywhere and we need to get rid of at least half of them . bob@bob.com bobs.png igor@initech-corp.com,CONTACT,POLICY
new policy there will be a new policy for the office . we are going to restrict what type of drinks you can bring from your home . you must bring drinks without sugar in case of spills . gary230@initech-corp.com none john@initech-corp.com,POLICY,POLICY
person contact hello ! it 's me . i just need to leave myself this email to remind myself of sue johanson 's contact info . her email address is sjohanson@gmail.com . her phone number is 781-589-5566 . igor@initech-corp.com none igor@initech-corp.com,CONTACT,CONTACT
new policy there is going to be a change in dress code that needs to be looked at and memorized that will go into effect next week . the new rules at attached in a document . gary@initech-corp.com dresscode.txt mike@initech-corp.com,POLICY,POLICY
"keep note of this contact ! this is myself , just reminding you to keep track of the following contact name thomas giloran address 527 forest lane , liberty , ny phone number -lrb-845-rrb- 445-6854 add this to contact records . mary@initech-corp.com none mary@initech-corp.com",CONTACT,CONTACT
"it policy in effect good afternoon staff , starting on monday - it is implementing a new policy that we are to now longer access personal email accounts from our work stations any longer . this will be strictly enforced . please see me with any questions . thank you , nicole staff@initech-corp.com none igor@initech-corp.com",POLICY,POLICY
annabelle annabelle is the point of contact for all database work . she is a vp and coordinates with matt in it to make sure database records are kept up to date . she is the person i need to contact regarding prioritizing databases and which records need to be matched/unmatched . mike@initech-corp.com annabellecontactinfo mike@initech-corp.com,CONTACT,CONTACT
announcement ! tomorrow the office will be closed due to the impending snow . all activities will hopefully resume in 2 days if the snow lets up . please check email for further announcements . staff@initech-corp.com none mary@initech-corp.com,POLICY,POLICY
sarahs phone number this is a note to myself so i do n't lose sarah 's phone number and contact information sarah p. 251-975-9743 amy@initech-corp.com none amy@initech-corp.com,CONTACT,CONTACT
"new policies re id badges initech-corp staff , please be aware that effective immediately , we need everyone to wear their id badges where they are clearly visible at all times while on company property . you can attach them to a shirt of jacket with the clips that were provided , or you may attach them to the lanyard that was provided . if you need a replacement clip or lanyard , contact kathy in hr . if you have misplaced your id , contact deb in hr . i appreciate everyone 's cooperation with this new policy . please be aware we have issued this new policy for everyone 's safety . please let me know if there are any questions or concerns . mike staff@initech-corp.com none mike@initech-corp.com",POLICY,POLICY
new office policy starting this week we will be having casual friday so you can wear jeans or anything you are comfortable in within reason . everyone@initech-corp.com none amy@initech-corp.com,POLICY,POLICY
bob collins please remember to keep this person in you contacts . he has been wanting to talk to me about the job at hand . he is a very nice person and knows how to do the task at hand . i am going to follow up with him in the next few days to touch base and see when he could come in to talk about the job we had already discussed . john@initech-corp.com bob collins infor john@initech-corp.com,CONTACT,POLICY
"contact with dave met with dave today to go over project . meeting again at 9 am on wednesday . his cell is 402-889-1234 , email is dave@initech-corp.com forms and notes we went over are here . john@initech-corp.com presentationforms.pdf , forms.pdf john@initech-corp.com",CONTACT,POLICY
"contact organizer of new home school group helen smith 123 fishing creek rd. tarboro , nc 27886 cell phone -lrb-252-rrb- 904-5555 call first week of january to set up a field trip schedule . amy@initech-corp.com none amy@initech-corp.com",CONTACT,CONTACT
"note to self ! i ran into jen today , here number is -lrb-775-rrb-556-5684 and email address is jenshy@yahoo.com remember to call her later with details about saturday night and our girls night out with toni and beth mary@initech-corp.com none mary@initech-corp.com",CONTACT,CONTACT
"remember this contact you met wislon today from iga his phone number is 406 811 0045 his email is owiga23@boingbing.com seems like a good guy , add to contact list mike@initech-corp.com none mike@initech-corp.com",CONTACT,CONTACT
"updated recycling policy please see the attached policy on recycling . make sure to read it , follow it , and return to me a signed signature page , which is located at the end of the memo . i expect all department heads to be swift with implementing this and return the signed pages from all staff members to me by thursday afternoon , no later than 430 pm . if you have any questions , please see janet in hr . thank you , john everyone@initech-corp.com recyclingpolicymemo.pdf john@initech-corp.com",POLICY,POLICY
"john doe reminder john doe 123 happy lane any city , ca 95555 555-533-9090 contacted john on dec 1 , left voice mail . igor@initech-corp.com none igor@initech-corp.com",CONTACT,CONTACT
new late policy there will be a new policy implemented for arriving late to work beginning in january . any employee who is late the second time will be terminated immediately . there will be no exceptions to this new policy . bob@initech-corp.com none amy@initech-corp.com,POLICY,POLICY
re contact just a quick note to remember that you met a colleague named mary from initech corporation today.she was at the breakfast meeting in which business strategies to attract older clients was the topic . aoluser.com none mary@initech-corp.com,CONTACT,CONTACT
policy update hello everyone . it is that time again that we start up a new policy for the company . i am sending out this email to everyone so be on the look out . there is nothing to be worried about . i think this will be good for everyone working on my team . i look forward to working with you all on this project and policy at hand . have a great day all sally@gmail.com policy for 2017 john@initech-corp.com,POLICY,POLICY
"new policy hey everyone , as you all know , there has been some discussion about leaving early on friday 's . corporate has decided to implement a new policy that i think you will all appreciate . starting on january 1st all employees can leave work at 1 00 p.m. on fridays as long as they have put in their 40 hours , and have had all assignments submitted and approved . i have attached the memo below , for those who are interested in reading it . if you have any questions come by my office . thanks ! mary allemployees@initech-corp.com fridaymemo.pdf mary@initech-corp.com",POLICY,POLICY
"new policy hey all , it has become necessary to address the newest issue . please take note that we will now be requiring all employees to eat in the breakroom , as the janitors are now complaining about crumbs in keyboards . thanks ! all none igor@initech-corp.com",POLICY,POLICY
contact for sean here is sean 's email seanbillings@gmail.com remember to add this to your phone book and send him an email next week . igor@initech-corp.com none igor@initech-corp.com,CONTACT,CONTACT
"sara 's contact infi here is sara 's from the christmas party 's contact info saraswanson@yahoo.com 7576544569 118 maine street denver , colorado phyllisphuntze@gmail.com none mary@initech-corp.com",CONTACT,CONTACT
"remember ron ! ron will soon launch his `` jump to conclusions '' mat . his phone number is 555-555-5555 . i 'd better remember this contact , because he 's offering me a stake in his business . mike@initech-corp.com contact info for palm pilot.palm mike@initech-corp.com",CONTACT,CONTACT
"new policy i wanted to remind everyone that we have a new policy starting this week , if you need to leave work for any reason you need to sign the specific sheet in margaret 's office . margaretl@opbc.com , shandrar@opbc.com , leahm@opbc.com , kellyc@opbc.com , thomasr@opbc.com none igor@initech-corp.com",POLICY,POLICY
"re recycling update all , you may have noticed the blue receptacles labeled `` recycle '' in your work area . these receptacles have been placed alongside the regular trash in order to facilitate our new recycling initiative . please place only items indicated on the blue receptacle label for recycling . thank you , jane doe manager of operations aoluser1.com none mary@initech-corp.com",POLICY,CONTACT
contact email of note of a person contact . i will need this contact for future sales . this is person is very friendly and will help after the holidays to get things going igor@initech-corp.com contact igor@initech-corp.com,CONTACT,CONTACT
"new office policy so , yeah , there will be a new policy at the office today . everyone needs to make sure that tps cover letters are stocked at all times . that way , when we need them , they 're there . tina , make sure to tell joe where the box is . wanda@initech-corp.com , joe@initech-corp.com , tina@initech-corp.com , greg@initech-corp.com , asuk@initech-corp.com , dilbert@initech-corp.com none mike@initech-corp.com",POLICY,POLICY
"pajama wednesdays to all employees , you are receiving this email to inform you of a the changes that have been made to the dress code . as of january 1 , 2016 all employees will be required to report for work with a suitable pair of pajamas every wednesday . this is non negotiable . any employee caught not wearing pajamas on wednesday will be penalized . allemployees@gmail.com none mary@initech-corp.com",POLICY,CONTACT
new policy this is to inform everyone that starting january 1st everyone will be required to put all complaints in the complaint box . this box has been attached to the trash can . massemail@initech-corp.com none igor@initech-corp.com,POLICY,POLICY
"contact fred jones fred jones 1122 boogey boogey avenue new york , ny 12345 -lrb-612-rrb- 444-4444 remember that fred 's wife 's name is norma . he love pepperoni pizza . he will order more in the afternoon than in the morning , and way more at the end of the month . amy@initech-corp.com none amy@initech-corp.com",CONTACT,CONTACT
"do n't forget ! when you get home , you have to make sure the trash gets put out at the curb . they will be coming by early in the morning to collect it , so put it away before you go in the house . and do n't forget to get the chops out of the freezer to thaw for tomorrow . amy@initech-corp.com redflag.jpg amy@initech-corp.com",CONTACT,POLICY
"new policy for the forms team as of 6/1/2017 , all members of the forms team will be required to complete their productivity reports by the 5th of each month . this is a change from the previous deadline of the 7th of each month . as before , productivity reports must be oked by nancy before they are submitted , so please allow time for that approval before the 5th . bob@initech-corp.com , fred@initech-corp.com , hillary@initech-corp.com none amy@initech-corp.com",POLICY,POLICY
"policy change - fax machine usage attention employees effective immediately the fax machine is to be used for work-related business only . personal faxes may not be sent using this machine . if personal faxes must be sent , there are a number of online fax options that can use scanned documents . if there are any questions about this policy , come see me . ppm 2.236 s151 listserv-employees@initech-corp.com ppm.pdf amy@initech-corp.com",POLICY,POLICY
"personal contact remember to keep the contact for mary bines - mary.bines@gmail.com . write it down in your calander or something , maybe put it in your phone , just do n't forget . john@initech-corp.com none john@initech-corp.com",CONTACT,CONTACT
enter fred 's contact info in contacts tuesday - enter fred 's contact info in contacts . confirm his email address beforehand . send contact info to s. mary@initech-corp.com none mary@initech-corp.com,CONTACT,CONTACT
me do n't forget jack roper 's address is jroper@gmail.com . you need to remember this because of the reasons that you have already disclosed to yourself in the previous e mail . you 're so sly . mary@initech-corp.com none mary@initech-corp.com,CONTACT,CONTACT
reminder do n't forget to jot down ken 's address and phone number . i 'll need to get a hold of him sometime . remember that he moved to pittsburgh . woosterpc@gmail.com none john@initech-corp.com,CONTACT,CONTACT
"dan 's info contact info for dan.text cell for quickest response . dan danielsen 1234 se street rd. anchorage , alaska , 99501 home-555-555-5555 cell-555-555-5556 dan-danielsen@aol.com mike@initech-corp.com none mike@initech-corp.com",CONTACT,CONTACT
"policy change here at initech corp , we value our employees opinions and strive to make the work environment comfortable and friendly . as such , we have included a new fridge and keurig machine in the office kitchen for people to use . we would like to inform everyone that the keurig needs to be taken care of properly , and has n't been lately . so the new policy regards the keurig , please make sure that you clean the area around the keurig when you use it and put all materials away after use . everyone@initech-corp.com none john@initech-corp.com",POLICY,POLICY
shirt policy it is going to become the new policy of this office that all employees must wear a shirt at all times . we all know why . employees@initech-corp.com none mary@initech-corp.com,POLICY,POLICY
new vacation policy this is just to let everyone know that there 's a new system in place for vacations . because we need so many people manning the phones we can only have a few people go on vacation at the same time . we will go by seniority . group@work.com none john@initech-corp.com,POLICY,POLICY
"announcement for new hr policy hi guys , i know you 're really busy with wrapping up the year numbers , but we need to get on the announcement for the new hr policy . i 'm getting strong pressure from above ( big surprise here ) to move forward as fast as possible . we need to get them a good draft this afternoon , or tomorrow at the latest . what we had seemed fine the last time i saw it - what do you think ? is it ready ? let me know , m jenny@initech-corp.com , dan@initech-corp.com , henry@initech-corp.com none mary@initech-corp.com",POLICY,POLICY
"reminder this is a reminder to myself to keep joe schmuck in mind for the next job interview . because i 'm boneheaded and am stuck in 1996 , i 'm using this medium to get my own message across . igor@initech.corp none igor@initech-corp.com",CONTACT,CONTACT
announcement the announcement is that you guys no longer have to wear shirts to work anymore . you can literally show up to work in your underwear for all that we care . we want you to be comfortable at this job . all@initech-corp.com none igor@initech-corp.com,POLICY,CONTACT
"note to self for nicole brown i am writing this note to personally keep note of the following person so i do not lose their contact information in the future , if it gets lost this way i will always know how to contact her nicole brown address 875 south bundy drive los angeles ca 90049 phone number 986-335-1171 email nicole_brown@gmail.com mary@initech-corp.com none mary@initech-corp.com",CONTACT,CONTACT
person contact hey try to keep in mind that contact was made with one of the customers that has been trying to get in touch . amy@initech-corp.com none amy@initech-corp.com,CONTACT,CONTACT
"reminder note to self , please remember to be on the lookout for bobby mathis . he seems okay , but i suspect there 's something beneath his good two shoes exterior . he is very helpful though and the bosses all like him . remember to be cool about it . you do n't want your instincts to be right in this instance . also add him to my personal contacts . liz23@mturk.com none igor@initech-corp.com",CONTACT,CONTACT
"joe brown notes met joe through becky white . he is head of the hr dept. at corrupto inc. . possible job connection for jenny r . he knows becky well , and that could help . mention her name and our relationship . mary@initech-corp.com none mary@initech-corp.com",CONTACT,CONTACT
